Ticker,Date,Close
TCS,2026-03-21,3000
TCS,2026-03-22,2900
TCS,2026-03-23,2800
TCS,2026-03-24,2700
TCS,2026-03-25,2600
TCS,2026-03-26,2500
TCS,2026-03-27,2450
TCS,2026-03-28,2420
TCS,2026-03-29,2410
TCS,2026-03-30,3500


INFY,2026-03-21,4000
INFY,2026-03-22,4100
INFY,2026-03-23,4200
INFY,2026-03-24,4300
INFY,2026-03-25,4400
INFY,2026-03-26,4500
INFY,2026-03-27,4550
INFY,2026-03-28,4580
INFY,2026-03-29,4600
INFY,2026-03-30,3000



SBI,2026-03-21,1000
SBI,2026-03-22,1010
SBI,2026-03-23,1020
SBI,2026-03-24,1030
SBI,2026-03-25,1040
SBI,2026-03-26,1050
SBI,2026-03-27,1060
SBI,2026-03-28,1070
SBI,2026-03-29,1080
SBI,2026-03-30,1090
